;�..Isolate;Collection.Year;Accession.number;Source;Continent;Country;Region;ptxA;ptxP;fim3;fim2;prn.allele;prn.expression;If.PRN.negative.state.event;Insertion.of.IS481.in.PRN;Western.Blot.prn.expression.NRC.Institut.Pasteur;Longitude;Latitude;Precision_loc;Dataset
75;L2259;2015;SRR8652734;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
76;L2260;2015;SRR8652735;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
77;L2261;2015;SRR8652736;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
78;L2262;2015;SRR8652769;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
79;L2263;2015;SRR8652720;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
80;L2264;2015;SRR8652774;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
81;L2265;2015;SRR8652773;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
82;L2266;2015;SRR8652729;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
83;L2267;2015;SRR8652727;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
84;L2268;2015;SRR8652731;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
85;L2237;2016;SRR8652746;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
86;L2238;2016;SRR8652743;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
87;L2239;2016;SRR8652744;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
88;L2242;2016;SRR8652739;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
89;L2243;2016;SRR8652740;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
90;L2269;2016;SRR8652732;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
91;L2270;2016;SRR8652780;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
92;L2271;2016;SRR8652779;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
93;L2272;2016;SRR8652728;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
94;L2273;2016;SRR8652790;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
95;L2274;2016;SRR8652721;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;event40;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
96;L2276;2016;SRR8652722;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
97;L2277;2017;SRR8652730;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
98;L2278;2017;SRR8652725;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
99;L2279;2017;SRR8652758;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
100;L2280;2017;SRR8652770;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
101;L2281;2017;SRR8652726;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
102;L2282;2017;SRR8652719;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
103;BORD1070;2014;ERR6091443     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
104;BORD1092;2014;ERR6091444     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1 like;no;NA;4,3753041;50,8387951;City;EU_dataset
105;BORD1156;2014;ERR6091445     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
106;BORD1162;2014;ERR6091446     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
107;BORD1174;2014;ERR6091447     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
108;BORD1178;2014;ERR6091448     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;4,3753041;50,8387951;City;EU_dataset
109;BORD1201;2014;ERR6091449     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
110;BORD1223;2014;ERR6091450     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
111;BORD1233;2014;ERR6091451     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
112;BORD1240;2014;ERR6091452     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
113;BORD1252;2015;ERR6091453     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
114;BORD1263;2015;ERR6091454     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1;no;NA;4,3753041;50,8387951;City;EU_dataset
115;BORD1274;2015;ERR6091455     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;4,3753041;50,8387951;City;EU_dataset
116;BORD1276;2015;ERR6091456     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
117;BORD1281;2015;ERR6091457     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
118;BORD1287;2015;ERR6091458     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
119;BORD1296;2015;ERR6091459     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 9;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
120;BORD1302;2015;ERR6091460     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
121;BORD1348;2015;ERR6091461     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
122;BORD1368;2015;ERR6091462     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
123;BORD1373;2016;ERR6091463     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
124;BORD1402;2016;ERR6091464     ;This_study;Europe;BE;Bruxelles;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;4,3753041;50,8387951;City;EU_dataset
